ürün adý,cilt tipi,kategori,içerik,is_exist
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Butylene Glycol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Sodium Benzoate,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Potassium Sorbate,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Cetearyl Alcohol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Caprylyl Glycol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Allantoin,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Green Tea Extract,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Chamomile Extract,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Salicylic Acid,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Lactic Acid,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Squalane,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Shea Butter,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Jojoba Oil,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Dimethicone,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Licorice Root Extract,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Titanium Dioxide,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Zinc Oxide,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Cocamidopropyl Betaine,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Decyl Glucoside,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Retinol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Alcohol Denat,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Essential Oils,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Limonene,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Linalool,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Eugenol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Geraniol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Citral,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Methylisothiazolinone,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Methylchloroisothiazolinone,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Propylene Glycol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Benzyl Alcohol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,BHT,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Formaldehyde,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Isopropyl Alcohol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Oily),YAGLI,Temizleyici,Sodium Lauryl Sulfate,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Water ,1
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Glycerin,1
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Niacinamide,1
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Hyaluronic Acid,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Panthenol,1
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Aloe Vera Extract,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Vitamin E,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Citric Acid,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Phenoxyethanol,1
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Fragrance,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Butylene Glycol,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Sodium Benzoate,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Potassium Sorbate,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Cetearyl Alcohol,0
Cyrene Hydrating Cleanser (Dry),KURU,Temizleyici,Caprylyl Glycol,0
