ingredient_name
Water
Algae Extract
Glycerin
Dimethicone
Cyclopentasiloxane
Butylene Glycol
Polysilicone-11
PEG-10 Dimethicone
Sodium Hyaluronate
Hydrolyzed Algin
Laminaria Saccharina Extract
Laminaria Digitata Extract
Chlorella Vulgaris Extract
Plankton Extract
Eucalyptus Globulus Leaf Extract
Magnesium Ascorbyl Phosphate
Tocopheryl Acetate
Retinyl Palmitate
Niacinamide
Panthenol
Sodium PCA
Urea
Allantoin
Linoleic Acid
Linolenic Acid
Glycine
Alanine
Serine
Valine
Isoleucine
Proline
Threonine
Histidine
Phenylalanine
Aspartic Acid
PCA
Sodium Chloride
Magnesium Sulfate
Calcium Chloride
Potassium Chloride
Sodium Citrate
Citric Acid
Phenoxyethanol
Methylparaben
Ethylparaben
Propylparaben
Butylparaben
Isobutylparaben
Fragrance
