ingredient_name
Aqua
Glycerin
Butylene Glycol
Caprylic/Capric Triglyceride
Dimethicone
Tribehenin
PEG-100 Stearate
Glyceryl Stearate
Cetyl Alcohol
Stearic Acid
Phenoxyethanol
Polysorbate 60
Sorbic Acid
Carbomer
Triethanolamine
Alumina
Panax Ginseng Root Extract
Caffeine
Saccharomyces/Xylinum/Vaccinium Angustifolium Ferment
Citrus Aurantium Dulcis Peel Oil
Citrus Nobilis Peel Oil
Menthyl Lactate
Disodium EDTA
Limonene
Color
Citral
Linalool
