ingredient_name
Aqua
Glycerin
Niacinamide
Sodium Hyaluronate
Panthenol
Allantoin
Chamomilla Recutita Flower Extract
Sodium PCA
Tetrasodium EDTA
Sodium Hydroxide
Phenoxyethanol
Ethylhexylglycerin.
