ingredient_name
Aqua
C12-15 Alkyl Benzoate
Caprylic/Capric Triglyceride
Diisopropyl Sebacate
Octocrylene
Butyl Methoxydibenzoylmethane
Methyl Methacrylate Crosspolymer
C18-36 Acid Triglyceride
C18-36 Acid Glycol Ester
Tocopheryl Acetate
Mannose
Silica
Ascorbyl Tetraisopalmitate
Caprylyl Glycol
Propanediol
Glyceryl Behenate
Polyglyceryl-3 Methylglucose Distearate
Xanthan Gum
Acrylates/C10-30 Alkyl Acrylate Crosspolymer
Tromethamine
Hexylene Glycol
Disodium EDTA
Alpha-Isomethyl Ionone
Benzyl Alcohol
Benzyl Salicylate
Butylphenyl Methylpropional
Citronellol
Geraniol
Limonene
Linalool
