ingredient_name
Aqua
Hexylene Glycol
Glycerin
Disodium Cocoamphodiacetate
Disodium EDTA
Poloxamer 184
Polyaminopropyl Biguanide
Polyxyethylene Hydrogenated Castor Oil
Panthenol
Citric Acid
Sodium Hydroxide
Parfum
